origFID	bottom	left	right	top	value	scalerank	admin	adm0_a3	region	area_sq_m	zoom_start
14055	41.374725	-72.086891	-71.994453	41.491703	1991	1	United States of America	USA	North America	178728519.109375	15
14056	41.491703	-72.164848	-71.994453	41.5372	1990	1	United States of America	USA	North America	128298876.898438	15
14057	41.5372	-72.164848	-71.994453	41.559452	995	1	United States of America	USA	North America	62782201.359375	15
14059	41.338287	-71.994453	-71.856399	41.416767	3980	1	United States of America	USA	North America	178926557.15625	15
14060	41.416767	-71.994453	-71.856399	41.503746	1990	1	United States of America	USA	North America	198556200.414062	15
14061	41.503746	-71.994453	-71.856399	41.610668	995	1	United States of America	USA	North America	244448024.625	15
14062	41.610668	-71.994453	-71.856399	41.740474	996	1	United States of America	USA	North America	297311234.382812	15
14063	41.338287	-71.856399	-71.581726	41.416751	3981	1	United States of America	USA	North America	355920643.765625	15
14066	41.648281	-71.856399	-71.581726	41.740474	1991	1	United States of America	USA	North America	420250558.03125	15
14068	41.338287	-71.50048	-71.431312	41.525844	7961	1	United States of America	USA	North America	214422442.9375	15
14069	41.338287	-71.431312	-71.314987	41.481407	995	0			North America	275078304.898438	15
14070	41.338287	-71.314987	-71.286842	41.481407	995	0			North America	66555589.015625	15
14071	41.481407	-71.431312	-71.286842	41.488475	1991	0			North America	16891162.25	15
14072	41.488475	-71.431312	-71.286842	41.525844	3981	0			North America	89335375.429688	15
14073	41.525844	-71.50048	-71.45922	41.699714	3980	1	United States of America	USA	North America	118904528.765625	15
14074	41.525844	-71.45922	-71.398109	41.64962	995	0			North America	125323229.976562	15
14075	41.525844	-71.398109	-71.286842	41.64962	995	0			North America	228180521.195312	15
14076	41.64962	-71.45922	-71.286842	41.699714	1991	0			North America	143261272.101562	15
14077	41.699714	-71.50048	-71.286842	41.740474	7962	1	United States of America	USA	North America	144570832	15
14081	41.824348	-73.078887	-72.834594	41.891834	995	1	United States of America	USA	North America	274301149.296875	15
14083	41.740474	-72.834594	-72.7276	41.825839	3980	1	United States of America	USA	North America	151786802.164062	15
14084	41.825839	-72.834594	-72.741111	41.927516	995	1	United States of America	USA	North America	158192040.304688	15
14085	41.825839	-72.741111	-72.7276	41.927516	995	1	United States of America	USA	North America	22863329.773438	15
14086	41.927516	-72.834594	-72.7276	42.119396	995	1	United States of America	USA	North America	342467041.679688	15
14087	42.119396	-72.834594	-72.7276	42.239181	996	1	United States of America	USA	North America	214317939.671875	15
14088	41.740474	-72.7276	-72.68901	42.239181	15923	1	United States of America	USA	North America	320865766.835938	15
14092	41.740474	-72.460899	-72.332176	41.858566	995	1	United States of America	USA	North America	252686670.789062	15
14093	41.858566	-72.460899	-72.332176	41.8997	995	1	United States of America	USA	North America	88125769.4375	15
14094	41.740474	-72.332176	-72.277053	41.8997	1990	1	United States of America	USA	North America	145945978.125	15
14095	41.740474	-72.277053	-72.252815	41.8997	1990	1	United States of America	USA	North America	64173550.390625	15
14096	41.740474	-72.252815	-72.246116	41.8997	995	1	United States of America	USA	North America	17736554.742188	15
14098	41.8997	-72.460899	-72.355789	42.095699	995	1	United States of America	USA	North America	343519749.632812	15
14099	41.8997	-72.355789	-72.238151	42.095699	995	1	United States of America	USA	North America	384463669.5625	15
14100	42.095699	-72.460899	-72.356628	42.239181	995	1	United States of America	USA	North America	250136089.820312	15
14101	42.095699	-72.356628	-72.238151	42.239181	996	1	United States of America	USA	North America	284214916.0625	15
14103	41.8997	-72.072715	-71.980598	42.10823	995	1	United States of America	USA	North America	320335436.4375	15
14104	42.10823	-72.238151	-72.066833	42.239181	995	1	United States of America	USA	North America	375119965.359375	15
14105	42.10823	-72.066833	-71.980598	42.239181	996	1	United States of America	USA	North America	188821199.257812	15
14106	41.740474	-71.980598	-71.899703	41.946727	995	1	United States of America	USA	North America	277540927.429688	15
14108	41.946727	-71.980598	-71.866073	42.145626	995	1	United States of America	USA	North America	380117482.648438	15
14110	41.740474	-71.709869	-71.543434	41.866527	995	1	United States of America	USA	North America	348763120.851562	15
14111	41.866527	-71.709869	-71.543434	41.969123	995	1	United States of America	USA	North America	284370258.71875	15
14112	41.969123	-71.709869	-71.543434	42.071098	995	1	United States of America	USA	North America	283103207.75	15
14113	42.071098	-71.709869	-71.543434	42.145626	996	1	United States of America	USA	North America	207192554.3125	15
14114	41.740474	-71.543434	-71.49736	42.145626	7961	1	United States of America	USA	North America	310997532.210938	15
14116	41.740474	-71.49736	-71.437202	42.239181	31846	1	United States of America	USA	North America	500198051.34375	15
14117	41.740474	-71.437202	-71.286842	41.827068	31845	1	United States of America	USA	North America	216380951.492188	15
14118	41.827068	-71.437202	-71.286842	41.87746	15923	1	United States of America	USA	North America	126054174.601562	15
14119	41.87746	-71.437202	-71.286842	41.957359	7961	1	United States of America	USA	North America	200069025.835938	15
14120	41.957359	-71.437202	-71.347297	42.084495	1990	1	United States of America	USA	North America	190662140.601562	15
14121	41.957359	-71.347297	-71.286842	42.084495	1991	1	United States of America	USA	North America	128207326.734375	15
14122	42.084495	-71.437202	-71.286842	42.141864	1990	1	United States of America	USA	North America	144096220.046875	15
14123	42.141864	-71.437202	-71.286842	42.239181	1991	1	United States of America	USA	North America	244734273.195312	15
14124	42.239181	-73.297424	-73.233398	42.643951	3980	1	United States of America	USA	North America	435184271.320312	15
14125	42.239181	-73.233398	-73.198707	42.522384	995	1	United States of America	USA	North America	164816643.96875	15
14127	42.522384	-73.233398	-73.114501	42.643951	995	1	United States of America	USA	North America	243263443.140625	15
14130	42.329502	-72.880226	-72.611518	42.42675	995	1	United States of America	USA	North America	438357317.0625	15
14132	42.329502	-72.611518	-72.557495	42.643951	1991	1	United States of America	USA	North America	285462944.453125	15
14133	42.239181	-72.557495	-72.531608	42.369998	1990	1	United States of America	USA	North America	56742057.25	15
14134	42.239181	-72.531608	-72.516891	42.369998	995	1	United States of America	USA	North America	32258386.710938	15
14136	42.369998	-72.557495	-72.524147	42.643951	1990	1	United States of America	USA	North America	153570199.554688	15
14137	42.369998	-72.524147	-72.517166	42.643951	995	1	United States of America	USA	North America	32148061.742188	15
14139	42.239181	-72.241958	-71.844871	42.286273	3981	1	United States of America	USA	North America	313114506.226562	15
14141	42.55973	-72.241958	-71.960914	42.643951	995	1	United States of America	USA	North America	398487744.078125	15
14142	42.286273	-71.960914	-71.844871	42.351131	995	1	United States of America	USA	North America	126135942.226562	15
14144	42.239181	-71.844871	-71.778938	42.643951	31846	1	United States of America	USA	North America	448146136.898438	15
14145	42.239181	-71.778938	-71.433929	42.336395	15922	1	United States of America	USA	North America	561826767.59375	15
14146	42.336395	-71.778938	-71.687934	42.503829	1990	1	United States of America	USA	North America	255777292.0625	15
14147	42.336395	-71.687934	-71.592987	42.503829	1990	1	United States of America	USA	North America	266859550.679688	15
14148	42.503829	-71.778938	-71.753997	42.643951	1990	1	United States of America	USA	North America	58809284.976562	15
14149	42.503829	-71.753997	-71.714187	42.643951	995	1	United States of America	USA	North America	93869437.257812	15
14150	42.503829	-71.714187	-71.592987	42.643951	996	1	United States of America	USA	North America	285781858.71875	15
14151	42.336395	-71.592987	-71.433929	42.426887	3981	1	United States of America	USA	North America	241466552.921875	15
14152	42.426887	-71.592987	-71.433929	42.520809	1990	1	United States of America	USA	North America	250987999.65625	15
14153	42.520809	-71.592987	-71.499382	42.643951	995	1	United States of America	USA	North America	193994770.984375	15
14154	42.520809	-71.499382	-71.433929	42.643951	996	1	United States of America	USA	North America	135650229.648438	15
14155	42.239181	-71.433929	-71.286842	42.30141	7961	1	United States of America	USA	North America	153281471.203125	15
